,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Sylvia,Fresno / Visalia,"Yarbs Grading and Paving, Inc.",Active,Contacted,VP/HIGH LEVEL,WEEKLY,2/23/2026,laurie made a payment. sent new open balance.,,,,86
Victoria,Fresno / Bakersfield / Visalia / Modesto,"SECURITY PAVING COMPANY, INC",ON HOLD,Roadblock,VP/HIGH LEVEL,WEEKLY,4/13/2026,requested update on payment ,,,,37
Sylvia,Sacramento,2M GENERAL ENGINEERING INC.,Active,Contacted,VP/HIGH LEVEL,WEEKLY,3/11/2026,called & left a voicemail for the ap department,,,,70
Victoria,Bakersfield,Griffith Company,Active,Union Letter,VP/HIGH LEVEL,WEEKLY,4/13/2026,ashley responded with update. trying to get joint checks.,,,CPR 10/02/2024,37
Sylvia,Fresno,AGEE CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Victoria,Bakersfield / Visalia,"Herman Weissker, Inc",Active,Contacted,COLLECTION TEAM,WEEKLY,4/8/2026,requested update on payment,,,,42
Sylvia,Fresno,"Bill Nelson GEC, Inc",Active,Contacted,COLLECTION TEAM,WEEKLY,4/3/2026,"Krintin email, ",,,,47
Lui,Bakersfield / Fresno / AG ,W. M. LYLES CO.,Active,Union Letter,BRANCH MANAGER,WEEKLY,3/5/2026,requested update on payment,,12/11/24,"spoke w/Karen she advised that they are waiting on certified payroll information from us to process payment for these outstanding open invoices. Job 62766 $12,381.54, Job 62518 $9,959.68, Job 62830 $4,067.64 Inv's 163150, 163164, 163311, 163247, 163257, 163259, 163285, 163455, 163526 (Visalia)",76
Josie,Fresno,Sturgeon Electric California LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"Said a Check was sent out for invoice 00165707 in the amount of $3,820.00 check # 788839",,,,5
Sylvia,Fresno,BMY,Active,Contacted,COLLECTION TEAM,WEEKLY,4/16/2026,"Alli email, asking for Benefit statement, Union Letter, DAS 140 & 142; Allyson working on it.",,,,34
