,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Ashley,OC,VCI CONSTRUCTION LLC,Active,Contacted,COLLECTION TEAM,MONTHLY,4/1/2026,called requested payment.  kelly asked for a statement. system down. will work on it asap,,,,49
Sylvia,Orange County,HP COMMUNICATION (SOUTHERN CALIFORNIA),Active,Contacted,COLLECTION TEAM,PORTAL,4/20/2026,sent open balace report,,,,30
Josie,Bakersfield,MASTEC - ATT (BAKERSFIELD),Active,Contacted,DO NOT CONTACT!,PORTAL,4/1/2026,jordan working on it ,,,,49
Josie,Bakersfield / OC / AG,FARWEST CORROSION CONTROL COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/20/2026,"Called to see if Maria  has a payment this week  no answer left message , waiting on response  did not respond to yesterday's email ",,,,0
Sylvia,,FISHER SAND & GRAVEL CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Victoria,Fresno / OC ,"INSITUFORM TECHNOLOGIES, LLC",Active,Contacted,VP/HIGH LEVEL,DO NOT CALL,4/6/2026,emailed payment information dated 4/2/26  I emailed her back asking if it was Fed ex waiting on response,,,,44
Bryce,OC,"CITYSIDE NETWORKS, LLC",Active,Contacted,BRANCH MANAGER,WEEKLY,4/30/2026,Emailed customer  asked if needed invoices Bryce Said does not need collections assistance ,,,,20
Victoria,Bakersfield,WIRING CONNECTIONS INC.(BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,2/9/2026,sent open balance report & requested payment update,,,,100
Bryce,OC / AG / Bakersfield / ,TURN AROUND COMMUNICATIONS,Active,Contacted,COLLECTION TEAM,WEEKLY,4/20/2026,sent open balace report,,,,30
Josie,O.C,"CALIFORNIA PROFESSIONAL ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/20/2026,Zen said she is waiting on CPR ,,,,0
Lui,Bakersfield,MASTEC (BAKERSFIELD),Active,Contacted,DO NOT CONTACT!,DO NOT CALL,4/1/2026,jordan working on it ,,,,49
Josie,Bakersfield ,BURTCH CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/8/2026,Said check is ready for pick up put on Slack and called Lui said he will pick up some time today ,,,,12
