,,,,,,,,,,,,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note date,Local Management Notes,Days since contact
Sylvia,Visalia / Fresno / Bakersfield,LEO TIDWELL EXCAVATING ((SVA)),Active,Contacted,COLLECTION TEAM,WEEKLY,5/12/2026,"Alyssa asking for invoices, done",,,,8
Yareli,Fresno ,HP Communication SVA (At&t),Active,Uncollectable,COLLECTION TEAM,WEEKLY,4/1/2026,victoria is working on it,,2/18/25,Hammer- All invoices been approved and submitted to sage waitng for payment. Hp team following behind. Have a lunch meeting this friday.,49
Sylvia,Modesto,SEFNCO COMMUNICATIONS ATT MO,Active,Contacted,COLLECTION TEAM,PORTAL,1/8/2026,Called left phone message to call me back ,,,,132
Victoria,not on tcr TCS!!!!,MONARCH PIPELINE & HYDROVAC (CASH),ON HOLD,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,4/1/2026,victoria is working on it ,,,,49
Lui,Fresno / Visalia ,BROWNING CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,sent open balance report. waiting for reply,,,,43
Sylvia,Fresno,DON PICKETT & ASSOCIATES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/13/2026,"$28,946.00, payment/Check should arrive at our bank on the 19th, account paying in full, per Victoria, (fresno account)",,,,7
Victoria,Fresno / Visalia / Bakersfield  ,A-C ELECTRIC,Active,Contacted,COLLECTION TEAM,PAID WHEN PAID ,5/6/2026,Hammer asked for status emailed for TCS and INC ,,06/27/2025,***per hammer they will be paying evey old invoice in tcs next week*** ,14
Sylvia,Fresno,KLASSEN CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,following up again by the email thread regarding payment status on those past due invocies. (fresno account),,,,19
Ashley,OC ,VCI CONSTRUCTION LLC,Active,Roadblock,VP/HIGH LEVEL,BRANCH MANAGER!!!,4/1/2026,called requested payment.  kelly asked for a statement. system down. will work on it asap,do not call per jordan ,6/19/25,***ashley sent open bal to customer*** 12-4-24 some invoices need to be voided by victora.,49
Sylvia,Fresno,"WESTEC SYSTEMS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,Marinatte replied said payment of $395.00 Ck-63552 out last week on 4-6-26.,,,,37
Sylvia,Fresno,B&B CONSTRUCTION SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,following up with Lorena regarding payment on those March and April invoices. (fresno account),,3/18/25,,5
Josie,Visalia / Bakersfield ,FARWEST CORROSION CONTROL COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/19/2026,Emailed Maria status report for both accounts waiting on response ,,,,1
Sylvia,Fresno,TODD COMPANIES,Active,Contacted,BRANCH MANAGER,WEEKLY,4/23/2026,"left message for Melissa, she was out for Lunch, sending her an email again following up on payment on the Feb-7 invoice for $13,790.00 (fresno account)",,,,27
Sylvia,Fresno,LEGACY,Active,Promise to Pay,BRANCH MANAGER,WEEKLY,4/9/2026,"( Branch Manager working on this Account ) -following up on payment on those February invoices with Accounting, waiting on a response.",,,,41
Sylvia,Fresno,HBC ENTERPRISES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,left message see if the April invoices was received. (fresno account),,,,19
